iter	Passed	Remaining
0	0	76
1	1	67
2	2	70
3	2	67
4	3	66
5	4	67
6	4	64
7	5	63
8	6	61
9	6	60
10	7	60
11	8	60
12	8	58
13	9	57
14	10	56
15	10	55
16	11	54
17	12	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	50
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	20	44
31	20	43
32	21	43
33	22	42
34	22	42
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	27	38
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	32	34
48	32	34
49	33	33
50	34	32
51	34	31
52	35	31
53	35	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	42	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	65	0
