iter	Passed	Remaining
0	0	723
1	1	657
2	1	639
3	2	622
4	3	615
5	3	618
6	4	608
7	4	600
8	5	594
9	5	587
10	6	583
11	7	581
12	7	579
13	8	577
14	8	574
15	9	569
16	9	568
17	10	566
18	10	564
19	11	562
20	12	561
21	12	560
22	13	558
23	13	559
24	14	558
25	14	556
26	15	555
27	15	552
28	16	551
29	17	551
30	17	550
31	18	549
32	18	548
33	19	547
34	19	546
35	20	545
36	20	544
37	21	543
38	22	542
39	22	541
40	23	540
41	23	539
42	24	538
43	24	537
44	25	536
45	25	536
46	26	535
47	26	534
48	27	534
49	28	534
50	28	534
51	29	533
52	29	532
53	30	532
54	30	531
55	31	530
56	32	530
57	32	529
58	33	528
59	33	528
60	34	527
61	34	526
62	35	525
63	35	524
64	36	523
65	36	523
66	37	522
67	38	521
68	38	520
69	39	519
70	39	519
71	40	518
72	40	517
73	41	517
74	41	516
75	42	516
76	43	515
77	43	514
78	44	514
79	44	513
80	45	512
81	45	511
82	46	508
83	46	508
84	47	507
85	47	506
86	48	506
87	48	505
88	49	505
89	49	505
90	50	504
91	50	503
92	51	502
93	51	501
94	52	499
95	52	498
96	53	497
97	53	496
98	54	496
99	55	495
100	55	494
101	56	493
102	56	492
103	57	491
104	57	490
105	58	490
106	58	489
107	59	488
108	59	487
109	60	486
110	60	486
111	61	485
112	61	484
113	62	483
114	62	482
115	63	481
116	63	480
117	64	479
118	64	478
119	65	477
120	65	476
121	66	475
122	66	474
123	67	473
124	67	473
125	68	472
126	68	471
127	69	470
128	69	469
129	70	468
130	70	467
131	70	466
132	71	465
133	71	465
134	72	464
135	72	463
136	73	462
137	73	461
138	74	460
139	74	459
140	75	459
141	75	457
142	76	456
143	76	455
144	77	455
145	77	454
146	78	453
147	78	452
148	79	452
149	79	451
150	80	450
151	80	449
152	81	449
153	81	448
154	82	448
155	82	447
156	83	446
157	83	446
158	84	446
159	84	445
160	85	443
161	85	442
162	86	442
163	86	441
164	87	440
165	87	439
166	88	439
167	88	438
168	89	437
169	89	437
170	90	436
171	90	435
172	90	434
173	91	434
174	91	433
175	92	432
176	92	432
177	93	431
178	93	430
179	94	432
180	95	431
181	95	431
182	96	430
183	96	429
184	97	429
185	97	428
186	98	427
187	98	427
188	99	426
189	99	426
190	100	425
191	100	424
192	101	424
193	101	423
194	102	423
195	102	422
196	103	421
197	103	421
198	104	420
199	105	420
200	105	419
201	106	418
202	106	418
203	107	417
204	107	417
205	108	416
206	108	416
207	109	416
208	109	415
209	110	414
210	110	414
211	111	413
212	111	413
213	112	412
214	112	412
215	113	411
216	113	411
217	114	410
218	114	409
219	115	409
220	115	408
221	116	407
222	116	407
223	117	406
224	117	405
225	118	405
226	118	404
227	119	403
228	119	403
229	120	402
